TF	NES	size	p.value	FDR
NFE4	1.71412213212849	55	0.0865062978834618	0.806549546739809
FOXA2	1.71074974359137	32	0.0871273206109461	0.806549546739809
AFAP1L2	1.70724762635855	30	0.0877760361827174	0.806549546739809
HIVEP2	1.70288974907321	42	0.0885887027493436	0.806549546739809
MAEL	-1.6861439104789	12	0.0917680841659519	0.806549546739809
ZNF667	1.68345287897779	6	0.0922874540126441	0.806549546739809
STAT3	1.68323199557696	32	0.0923301892040162	0.806549546739809
ZBTB7B	1.6781096764597	33	0.0933256900573714	0.806549546739809
ZBTB4	1.66948645017421	33	0.0950210135006305	0.806549546739809
OSR2	1.66932114699401	37	0.0950537514642562	0.806549546739809
LRRFIP1	1.66882244075363	24	0.0951525739893036	0.806549546739809
HINFP	-1.66711725456667	44	0.0954910918114191	0.806549546739809
IRX2	1.6669055984676	41	0.0955331775059629	0.806549546739809
ZNF316	1.66622969713848	45	0.0956676731646883	0.806549546739809
RFX5	-1.66371199407169	9	0.0961699982249171	0.806549546739809
HDAC3	-1.65713122394694	161	0.097492947623122	0.806549546739809
ZBTB17	1.65206435867771	58	0.0985214316679802	0.806549546739809
ISX	-1.65094500942011	66	0.0987498040730964	0.806549546739809
PCGF6	-1.64748853344862	29	0.0994576711755064	0.806549546739809
FOXL2	-1.64380207162256	31	0.100217093318589	0.806549546739809
PAX1	1.64287691161037	18	0.100408402921688	0.806549546739809
ARID3A	-1.64254810703531	39	0.100476464988655	0.806549546739809
DMBX1	1.64226221610692	24	0.100535673876584	0.806549546739809
NFIC	1.64101703548932	21	0.10079387899434	0.806549546739809
SAMD11	1.64079076724484	9	0.100840855474866	0.806549546739809
CHD5	1.63954082923206	19	0.101100674692875	0.806549546739809
ZNF627	-1.63907321737341	35	0.101198012112419	0.806549546739809
ZNF746	1.63885342871172	12	0.101243788789142	0.806549546739809
ELK4	1.63500796176391	28	0.102047378596496	0.806549546739809
MTF1	1.63355822460722	21	0.102351645633516	0.806549546739809
ASCL2	-1.632968828761	139	0.102475552699965	0.806549546739809
ZNF471	-1.63219454923752	2	0.102638508688143	0.806549546739809
MYBL2	-1.62744720799527	39	0.103642152187001	0.806549546739809
PAX5	-1.62737557836562	13	0.103657355046522	0.806549546739809
ZNF490	-1.62576657201347	3	0.103999322028486	0.806549546739809
HOXB2	1.6234951286606	13	0.104483603866189	0.806549546739809
NUP35	-1.62303803209053	80	0.104581275008767	0.806549546739809
LYAR	-1.61819009395019	86	0.10562163703867	0.806549546739809
ZXDC	1.61750481399678	11	0.105769357384739	0.806549546739809
KAT2B	1.61709801608337	34	0.105857125059148	0.806549546739809
HOXB9	-1.61605036324041	27	0.106083424757365	0.806549546739809
DMRT3	1.61470334528286	36	0.106374952766157	0.806549546739809
NR1I2	-1.61182665080254	119	0.106999667042319	0.806549546739809
MYF5	-1.61017980636487	27	0.107358608534281	0.806549546739809
GLI2	1.60972000991108	28	0.107458994579706	0.806549546739809
SCML2	-1.6089837321279	19	0.107619898823855	0.806549546739809
MYC	-1.60745891669831	58	0.107953734718499	0.806549546739809
WBP2NL	1.60687978977357	17	0.10808074063497	0.806549546739809
TFAP2D	-1.60586981765299	34	0.108302516380396	0.806549546739809
EBF1	1.60574799189669	6	0.108329291934899	0.806549546739809
GPATCH3	1.60538717955409	61	0.108408624048993	0.806549546739809
REL	1.60364930340795	12	0.108791376520926	0.806549546739809
ATF3	-1.60308967675945	12	0.108914856825877	0.806549546739809
ONECUT1	-1.60123734678985	27	0.109324359928879	0.806549546739809
TAL1	1.60087066051519	12	0.109405569112525	0.806549546739809
ZNF486	-1.59688554146445	1	0.110291223286725	0.806549546739809
ZHX2	1.59527544293204	9	0.110650654565853	0.806549546739809
ZNF701	-1.59456587334495	2	0.110809349117803	0.806549546739809
ZNF649	-1.59343167876184	1	0.111063383784439	0.806549546739809
IKZF2	1.58987366152411	52	0.111863285654705	0.806549546739809
ZNF429	-1.58784107066988	5	0.112322281696293	0.806549546739809
ZNF264	1.5851273013366	5	0.112937413722777	0.806549546739809
ACTRT1	1.58438093741662	23	0.113107057223849	0.806549546739809
