dataset	canonical_drug
GDSC2	CID:992586
GDSC2	NAME:IAP5620
PRISM	CID:16654980
PRISM	CID:51167
PRISM	CID:6433109
PRISM	CID:10309899
PRISM	CID:16736529
PRISM	CID:49836027
PRISM	CID:25229526
PRISM	CID:60795
PRISM	CID:2747117
PRISM	CID:6918178
PRISM	CID:11599836
PRISM	CID:53358942
PRISM	CID:25295
PRISM	CID:2929
PRISM	CID:3117
PRISM	CID:9933475
PRISM	CID:3001055
PRISM	CID:5455
PRISM	CID:10297043
PRISM	CID:59604787
PRISM	CID:17142
PRISM	CID:5311
PRISM	CID:5614
PRISM	CID:11647372
PRISM	INCHI:RTKIYFITIVXBLE-WKWSCTOISA-N
PRISM	CID:5329098
PRISM	CID:443390
PRISM	CID:5472285
PRISM	CID:456389
PRISM	CID:31789
PRISM	CID:6185
PRISM	CID:4369270
PRISM	CID:11556711
PRISM	CID:53240420
PRISM	CID:104842
PRISM	CID:16718576
PRISM	CID:11178236
PRISM	CID:73549
PRISM	CID:16736978
PRISM	CID:9804992
PRISM	CID:25102847
PRISM	CID:51042438
PRISM	CID:11199742
PRISM	CID:5282493
PRISM	CID:51038269
PRISM	CID:153241
PRISM	CID:4038180
PRISM	CID:11707110
PRISM	CID:10367662
PRISM	CID:30751
PRISM	CID:6445533
PRISM	CID:400772
PRISM	CID:6197
PRISM	NAME:CPP
PRISM	CID:44607531
PRISM	CID:58573469
PRISM	CID:240980
PRISM	CID:11703255
PRISM	CID:11538455
PRISM	CID:131634633
PRISM	CID:54675783
PRISM	CID:20279
PRISM	CID:4261
PRISM	CID:156414
PRISM	CID:3342
PRISM	CID:24786555
PRISM	CID:44462760
PRISM	CID:16666708
PRISM	CID:3035454
PRISM	CID:18924996
PRISM	CID:104920
PRISM	CID:5166
PRISM	CID:59239165
PRISM	CID:509554
PRISM	CID:56599293
PRISM	CID:46213929
PRISM	CID:65399
PRISM	CID:10275789
PRISM	CID:10461815
PRISM	CID:5327723
PRISM	CID:753704
PRISM	CID:54675769
PRISM	CID:460612
PRISM	CID:46912230
PRISM	CID:46191454
PRISM	CID:9850876
PRISM	CID:11511120
PRISM	CID:24958200
PRISM	CID:10184653
PRISM	CID:23725625
PRISM	CID:5310988
PRISM	CID:11977753
PRISM	CID:11620908
PRISM	CID:24197464
PRISM	CID:135565545
PRISM	CID:5083
PRISM	CID:2250974
PRISM	CID:6450531
PRISM	CID:6918670
PRISM	CID:9799508
PRISM	CID:44631912
PRISM	CID:11214940
PRISM	CID:25183872
PRISM	CID:100802
PRISM	CID:15547703
PRISM	CID:24826799
PRISM	CID:24739943
PRISM	CID:3795
PRISM	CID:42890
PRISM	CID:49784945
PRISM	CID:356653
PRISM	CID:57519748
PRISM	CID:657237
PRISM	CID:2723601
PRISM	CID:6445562
PRISM	CID:11315474
PRISM	CID:4212
PRISM	CID:135564985
PRISM	CID:27812
PRISM	CID:374536
PRISM	CID:46832368
PRISM	CID:6918852
PRISM	CID:24978538
PRISM	CID:2690
PRISM	CID:17751063
PRISM	CID:21453
PRISM	CID:28417
PRISM	CID:656765
PRISM	CID:42642645
PRISM	CID:9853654
PRISM	CID:36462
PRISM	CID:73211763
PRISM	CID:44516953
PRISM	CID:1697
PRISM	CID:6918837
PRISM	CID:9800555
PRISM	CID:300471
PRISM	CID:2779853
PRISM	CID:3718
PRISM	CID:11998575
PRISM	CID:97226
PRISM	CID:10138259
PRISM	CID:3994
PRISM	CID:46216796
PRISM	CID:10173277
PRISM	CID:115175
PRISM	NAME:ZK811752
PRISM	CID:2741
PRISM	CID:10288191
PRISM	CID:23643976
PRISM	CID:4946
PRISM	CID:6398761
PRISM	CID:21800
PRISM	CID:11715767
