analysis_definition	TF	patient_promoter_accessible	PDX_promoter_accessible	cell_line_promoter_accessible	triple_system_promoter_accessible	all_three_system_mean_NES_negative	retained_by_anchor_activity_rule	HC_TF_promoter_activity_definition	exclusion_reason
PRIMARY_anchor_promoter_tcga_cpm1_both	ZSCAN16	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
SENS_legend_promoter_tcga_cpm1_both	ABHD14B	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
SENS_legend_promoter_tcga_cpm1_both	ABRA	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
SENS_legend_promoter_tcga_cpm1_both	APBB1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
SENS_legend_promoter_tcga_cpm1_both	ARX	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
SENS_legend_promoter_tcga_cpm1_both	ASCL5	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
SENS_legend_promoter_tcga_cpm1_both	ATOH8	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
SENS_legend_promoter_tcga_cpm1_both	BATF3	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
SENS_legend_promoter_tcga_cpm1_both	BCLAF3	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
SENS_legend_promoter_tcga_cpm1_both	CIITA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
SENS_legend_promoter_tcga_cpm1_both	CREB3L2	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	
SENS_legend_promoter_tcga_cpm1_both	CREBRF	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	
SENS_legend_promoter_tcga_cpm1_both	CRY2	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	
SENS_legend_promoter_tcga_cpm1_both	CSRNP1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
