system	sample_1	sample_2	pearson_r
patient	TCGA-L9-A8F4	TCGA-44-A47F	0.643596505602931
patient	TCGA-L9-A8F4	TCGA-49-AARO	0.779330409174163
patient	TCGA-L9-A8F4	TCGA-4B-A93V	0.638210217340504
patient	TCGA-L9-A8F4	TCGA-73-A9RS	0.73230024349265
patient	TCGA-L9-A8F4	TCGA-86-A4D0	0.544272251449227
patient	TCGA-L9-A8F4	TCGA-86-A4P7	0.785137937744697
patient	TCGA-L9-A8F4	TCGA-86-A4P8	0.819853436440217
patient	TCGA-L9-A8F4	TCGA-91-A4BC	0.7907088660355
patient	TCGA-L9-A8F4	TCGA-91-A4BD	0.782573454722414
patient	TCGA-L9-A8F4	TCGA-93-A4JN	0.791927029474171
patient	TCGA-L9-A8F4	TCGA-93-A4JO	0.905051765634352
patient	TCGA-L9-A8F4	TCGA-93-A4JQ	0.846932014882847
patient	TCGA-L9-A8F4	TCGA-L4-A4E6	0.775740509619527
patient	TCGA-L9-A8F4	TCGA-L9-A8F4	1.0
patient	TCGA-L9-A8F4	TCGA-MP-A4SV	0.754058412664967
patient	TCGA-L9-A8F4	TCGA-MP-A4T4	0.765621935096947
patient	TCGA-L9-A8F4	TCGA-MP-A4T7	0.814829643718599
patient	TCGA-L9-A8F4	TCGA-MP-A4TE	0.634239364064458
patient	TCGA-L9-A8F4	TCGA-MP-A4TF	0.780907677098597
patient	TCGA-L9-A8F4	TCGA-NJ-A4YG	0.790376167017466
patient	TCGA-MP-A4SV	TCGA-44-3918	0.776254868630169
patient	TCGA-MP-A4SV	TCGA-44-6146	0.651511551541436
patient	TCGA-MP-A4SV	TCGA-44-A47F	0.645023161681191
patient	TCGA-MP-A4SV	TCGA-49-AARO	0.759755841349244
patient	TCGA-MP-A4SV	TCGA-4B-A93V	0.585353305427486
patient	TCGA-MP-A4SV	TCGA-73-A9RS	0.608634003203562
patient	TCGA-MP-A4SV	TCGA-86-A4D0	0.541876185778482
patient	TCGA-MP-A4SV	TCGA-86-A4P7	0.778990672426754
patient	TCGA-MP-A4SV	TCGA-86-A4P8	0.722210017104156
patient	TCGA-MP-A4SV	TCGA-91-A4BC	0.715670207770817
patient	TCGA-MP-A4SV	TCGA-91-A4BD	0.740090358754274
patient	TCGA-MP-A4SV	TCGA-93-A4JN	0.767587627594112
patient	TCGA-MP-A4SV	TCGA-93-A4JO	0.741464844178692
patient	TCGA-MP-A4SV	TCGA-93-A4JQ	0.76699452290604
patient	TCGA-MP-A4SV	TCGA-L4-A4E6	0.787071455875491
patient	TCGA-MP-A4SV	TCGA-L9-A8F4	0.754058412664967
patient	TCGA-MP-A4SV	TCGA-MP-A4SV	1.0
patient	TCGA-MP-A4SV	TCGA-MP-A4T4	0.755054940038239
patient	TCGA-MP-A4SV	TCGA-MP-A4T7	0.697279169504439
patient	TCGA-MP-A4SV	TCGA-MP-A4TE	0.649326981365176
patient	TCGA-MP-A4SV	TCGA-MP-A4TF	0.707165723894551
patient	TCGA-MP-A4SV	TCGA-NJ-A4YG	0.766428429587919
patient	TCGA-MP-A4T4	TCGA-44-3918	0.819675554274617
patient	TCGA-MP-A4T4	TCGA-44-6146	0.637286575391197
patient	TCGA-MP-A4T4	TCGA-44-A47F	0.567609578375548
patient	TCGA-MP-A4T4	TCGA-49-AARO	0.793051798118668
patient	TCGA-MP-A4T4	TCGA-4B-A93V	0.521652975211364
patient	TCGA-MP-A4T4	TCGA-73-A9RS	0.598580262471102
patient	TCGA-MP-A4T4	TCGA-86-A4D0	0.424865159295355
patient	TCGA-MP-A4T4	TCGA-86-A4P7	0.684639704527706
patient	TCGA-MP-A4T4	TCGA-86-A4P8	0.743328540015942
patient	TCGA-MP-A4T4	TCGA-91-A4BC	0.682086490405163
patient	TCGA-MP-A4T4	TCGA-91-A4BD	0.721660674828258
patient	TCGA-MP-A4T4	TCGA-93-A4JN	0.714989593924572
patient	TCGA-MP-A4T4	TCGA-93-A4JO	0.748438907049323
patient	TCGA-MP-A4T4	TCGA-93-A4JQ	0.813591128022546
patient	TCGA-MP-A4T4	TCGA-L4-A4E6	0.811571298279483
patient	TCGA-MP-A4T4	TCGA-L9-A8F4	0.765621935096947
patient	TCGA-MP-A4T4	TCGA-MP-A4SV	0.755054940038239
patient	TCGA-MP-A4T4	TCGA-MP-A4T4	1.0
patient	TCGA-MP-A4T4	TCGA-MP-A4T7	0.75616577336873
patient	TCGA-MP-A4T4	TCGA-MP-A4TE	0.516323831265302
patient	TCGA-MP-A4T4	TCGA-MP-A4TF	0.725158825998728
patient	TCGA-MP-A4T4	TCGA-NJ-A4YG	0.752870592944057
patient	TCGA-MP-A4T7	TCGA-44-3918	0.702027840641794
