TF	NES	p_value	FDR	regulon_size
EBF1	0.0464877985434001	0.96292145892504	0.999927879915109	48
EBF2	2.4562611157458	0.0140391106821428	0.0776598739662336	34
EBF3	0.312104125088587	0.754961391649478	0.952760818326182	12
EBF4	0.0157962680526367	0.987396925728904	0.999927879915109	49
EDRF1	0.364381684118136	0.715573010712422	0.935798155660609	8
EED	-2.14518023550568	0.0319384392258869	0.142236886312872	57
EGR1	0.167625241253255	0.866878112517078	0.997652743542806	5
EGR2	0.249820420806443	0.802726226848017	0.969550286712064	14
EGR3	-0.874659175248617	0.381759379510579	0.731494513920474	23
EGR4	0.417105735236411	0.676601070111209	0.917983073502235	7
