dataset	source_drug_id	drug_name	canonical_drug	pubchem_cid	inchikey	target	pathway_or_moa
PRISM	UNBS-5162	UNBS-5162	CID:16048966	16048966	WCKZRLOUKYFJDY-UHFFFAOYSA-N		CC chemokine receptor antagonist
PRISM	UNC0631	UNC0631	CID:53315868	53315868	XFAXSWXKPQWHDW-UHFFFAOYSA-N	EHMT2	histone lysine methyltransferase inhibitor
PRISM	UNC2250	UNC2250	CID:73211763	73211763	HSYSSKFCQHXOBP-UHFFFAOYSA-N	MERTK	MER tyrosine kinase inhibitor
PRISM	Uprosertib	Uprosertib	CID:51042438	51042438	AXTAPYRUEKNRBA-JTQLQIEISA-N	AKT1, AKT2, AKT3	AKT inhibitor
PRISM	Uracil	Uracil	CID:1174	1174	ISAKRJDGNUQOIC-UHFFFAOYSA-N	DPYD, UCKL1	
PRISM	Uric acid	Uric acid	CID:1175	1175	LEHOTFFKMJEONL-UHFFFAOYSA-N	PYGL	
PRISM	Uridine	Uridine	CID:6029	6029	DRTQHJPVMGBUCF-XVFCMESISA-N	LSM6, TYMP	dopamine receptor agonist
PRISM	Usniacin-(+)	Usniacin-(+)	NAME:U			PTPN1	MAP kinase activator
PRISM	Valnemulin	Valnemulin	CID:9850878	9850878	LLYYNOVSVPBRGV-MVNKZKPCSA-N		bacterial 50S ribosomal subunit inhibitor
PRISM	Valrubicin	Valrubicin	CID:454216	454216	ZOCKGBMQLCSHFP-KQRAQHLDSA-N	TOP2A	DNA inhibitor, topoisomerase inhibitor
PRISM	Vandetanib	Vandetanib	CID:3081361	3081361	UHTHHESEBZOYNR-UHFFFAOYSA-N	EGFR, EPHA1, EPHA10, EPHA2, EPHA3, EPHA4, EPHA5, EPHA6, EPHA7, EPHA8, EPHB1, EPHB2, EPHB3, EPHB4, EPHB6, ERBB2, ERBB3, ERBB4, FLT1, FLT4, KDR, PTK6, RET, SRC, TEK, VEGFA	EGFR inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor
PRISM	Vanoxerine	Vanoxerine	CID:104920	104920	MIBSKSYCRFWIRU-UHFFFAOYSA-N	SLC6A3	dopamine uptake inhibitor
PRISM	Vatalanib	Vatalanib	CID:151194	151194		EGFR, FLT1, FLT4, KDR, PDGFRB	KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor
PRISM	VE821	VE821	CID:51000408	51000408	DUIHHZKTCSNTGM-UHFFFAOYSA-N	ATR	ATR kinase inhibitor
PRISM	VE-822	VE-822	CID:59472121	59472121	JZCWLJDSIRUGIN-UHFFFAOYSA-N	ATM, ATR, MTOR, PIK3CG	ATR kinase inhibitor
